promo_id,game_id,season,game_date,promo_name,promo_category,promo_type,primary_promo_flag,sponsor_attached_flag,giveaway_flag,fireworks_flag,theme_night_flag,family_flag,dog_day_flag,jersey_auction_flag,expected_fan_segment,source_id,public_data_flag,notes
PROMO_00221,TP_2025_054,2025,2025-08-14,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00222,TP_2025_055,2025,2025-08-15,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00223,TP_2025_057,2025,2025-08-17,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00224,TP_2025_058,2025,2025-08-26,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00225,TP_2025_059,2025,2025-08-27,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00226,TP_2025_060,2025,2025-08-28,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00227,TP_2025_061,2025,2025-08-29,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00228,TP_2025_063,2025,2025-08-31,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00229,TP_2025_064,2025,2025-09-09,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00230,TP_2025_065,2025,2025-09-10,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00231,TP_2025_066,2025,2025-09-11,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00232,TP_2025_067,2025,2025-09-12,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00233,TP_2025_069,2025,2025-09-14,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
