attendance_id,game_id,season,game_date,opponent,announced_attendance,attendance_source,attendance_match_status,actual_home_game_records,attendance_note,public_data_flag
ATT_TP_2025_056,TP_2025_056,2025,2025-08-16,Tennessee,5366,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_057,TP_2025_057,2025,2025-08-17,Tennessee,3428,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_058,TP_2025_058,2025,2025-08-26,Columbus,3277,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_059,TP_2025_059,2025,2025-08-27,Columbus,3411,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_060,TP_2025_060,2025,2025-08-28,Columbus,4846,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_061,TP_2025_061,2025,2025-08-29,Columbus,3918,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_062,TP_2025_062,2025,2025-08-30,Columbus,5526,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_063,TP_2025_063,2025,2025-08-31,Columbus,3105,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_064,TP_2025_064,2025,2025-09-09,Chattanooga,3566,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_065,TP_2025_065,2025,2025-09-10,Chattanooga,3102,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_066,TP_2025_066,2025,2025-09-11,Chattanooga,4324,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_067,TP_2025_067,2025,2025-09-12,Chattanooga,4810,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_068,TP_2025_068,2025,2025-09-13,Chattanooga,5458,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2025_069,TP_2025_069,2025,2025-09-14,Chattanooga,4588,SRC_2025_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
