game_id,season,game_date,home_away,opponent,day_of_week,start_time,homestand_id,series_id,game_number_in_homestand,month,weekend_flag,holiday_flag,source_id,public_data_flag,notes
TP_2025_058,2025,2025-08-26,Home,Columbus,Tuesday,,2025_HS_10,2025_HS_10_COLUMBUS,1,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_059,2025,2025-08-27,Home,Columbus,Wednesday,,2025_HS_10,2025_HS_10_COLUMBUS,2,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_060,2025,2025-08-28,Home,Columbus,Thursday,,2025_HS_10,2025_HS_10_COLUMBUS,3,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_061,2025,2025-08-29,Home,Columbus,Friday,,2025_HS_10,2025_HS_10_COLUMBUS,4,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_062,2025,2025-08-30,Home,Columbus,Saturday,,2025_HS_10,2025_HS_10_COLUMBUS,5,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_063,2025,2025-08-31,Home,Columbus,Sunday,,2025_HS_10,2025_HS_10_COLUMBUS,6,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_064,2025,2025-09-09,Home,Chattanooga,Tuesday,,2025_HS_11,2025_HS_11_CHATTANOOGA,1,9,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_065,2025,2025-09-10,Home,Chattanooga,Wednesday,,2025_HS_11,2025_HS_11_CHATTANOOGA,2,9,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_066,2025,2025-09-11,Home,Chattanooga,Thursday,,2025_HS_11,2025_HS_11_CHATTANOOGA,3,9,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_067,2025,2025-09-12,Home,Chattanooga,Friday,,2025_HS_11,2025_HS_11_CHATTANOOGA,4,9,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_068,2025,2025-09-13,Home,Chattanooga,Saturday,,2025_HS_11,2025_HS_11_CHATTANOOGA,5,9,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_069,2025,2025-09-14,Home,Chattanooga,Sunday,,2025_HS_11,2025_HS_11_CHATTANOOGA,6,9,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
